urn,title,page_start,page_end,overlapp,digital_visning,comment,dhlabid,pages
URN:NBN:no-nb_digibok_2016051048054,Faderen,122,124,x,,,dhlab_norn_poem_00204,
URN:NBN:no-nb_digibok_2016051048054,Ved kirkeaarets komme,125,126,x,,,dhlab_norn_poem_00205,
URN:NBN:no-nb_digibok_2016051048054,Julekvelden,126,127,x,,,dhlab_norn_poem_00206,
URN:NBN:no-nb_digibok_2016051048054,Julesang,127,128,x,,,dhlab_norn_poem_00207,
URN:NBN:no-nb_digibok_2016051048054,Atter julekvelden,128,129,x,,,dhlab_norn_poem_00208,
URN:NBN:no-nb_digibok_2016051048054,Julehilsen,129,130,x,,,dhlab_norn_poem_00209,
URN:NBN:no-nb_digibok_2016051048054,Ved juletræet,130,131,x,,,dhlab_norn_poem_00210,
URN:NBN:no-nb_digibok_2016051048054,Nytaar,131,132,x,,,dhlab_norn_poem_00211,
URN:NBN:no-nb_digibok_2016051048054,Nytaarsgaven,132,132,x,,,dhlab_norn_poem_00212,
URN:NBN:no-nb_digibok_2016051048054,Jesu sidste nat,132,133,x,,,dhlab_norn_poem_00213,
URN:NBN:no-nb_digibok_2016051048054,Paaskesang,133,134,x,,,dhlab_norn_poem_00214,
URN:NBN:no-nb_digibok_2016051048054,Pintsesang,134,135,x,,,dhlab_norn_poem_00215,
URN:NBN:no-nb_digibok_2016051048054,Søndagen,135,135,x,,,dhlab_norn_poem_00216,
URN:NBN:no-nb_digibok_2016051048054,Vaaren,136,136,x,,,dhlab_norn_poem_00217,
URN:NBN:no-nb_digibok_2016051048054,En sommerdag,137,137,x,,,dhlab_norn_poem_00218,
URN:NBN:no-nb_digibok_2016051048054,Skovtjærnets klage,137,138,x,,,dhlab_norn_poem_00219,
URN:NBN:no-nb_digibok_2016051048054,Naturens smerte,138,138,x,,,dhlab_norn_poem_00220,
URN:NBN:no-nb_digibok_2016051048054,Regnbuen,139,140,x,,,dhlab_norn_poem_00221,
URN:NBN:no-nb_digibok_2016051048054,Norges natur,140,140,x,,,dhlab_norn_poem_00222,
URN:NBN:no-nb_digibok_2016051048054,Granlien,141,141,x,,,dhlab_norn_poem_00223,
URN:NBN:no-nb_digibok_2016051048054,Gud i alt,141,142,x,,,dhlab_norn_poem_00224,
URN:NBN:no-nb_digibok_2016051048054,Til skovbækken,142,143,x,,,dhlab_norn_poem_00225,
URN:NBN:no-nb_digibok_2016051048054,Gud er stor,143,144,x,,,dhlab_norn_poem_00226,
URN:NBN:no-nb_digibok_2016051048054,Tronhusknatten,144,145,x,,,dhlab_norn_poem_00227,
URN:NBN:no-nb_digibok_2016051048054,En sommeraften,145,146,x,,,dhlab_norn_poem_00228,
URN:NBN:no-nb_digibok_2016051048054,Moder Norge,147,148,x,,,dhlab_norn_poem_00229,
URN:NBN:no-nb_digibok_2016051048054,Hjemve,148,149,x,,,dhlab_norn_poem_00230,
URN:NBN:no-nb_digibok_2016051048054,Hvad lurtonerne sagde,149,150,x,,,dhlab_norn_poem_00231,
URN:NBN:no-nb_digibok_2016051048054,Et fromt barns morgensang,151,151,x,,,dhlab_norn_poem_00232,
URN:NBN:no-nb_digibok_2016051048054,Morgensang for rige,152,152,x,,,dhlab_norn_poem_00233,
URN:NBN:no-nb_digibok_2016051048054,Morgensang for fattige,152,152,x,,,dhlab_norn_poem_00234,
URN:NBN:no-nb_digibok_2016051048054,Morgensang for syge,153,153,x,,,dhlab_norn_poem_00235,
URN:NBN:no-nb_digibok_2016051048054,Om aftenen,153,154,x,,,dhlab_norn_poem_00236,
URN:NBN:no-nb_digibok_2016051048054,Aftensang for rige,154,154,x,,,dhlab_norn_poem_00237,
URN:NBN:no-nb_digibok_2016051048054,Aftensang for fattige,154,155,x,,,dhlab_norn_poem_00238,
URN:NBN:no-nb_digibok_2016051048054,Aftensang for syge,155,155,x,,,dhlab_norn_poem_00239,
